Sample	Strain	Run Accession
2688STDY5560972	Unknown	ERR369759
2688STDY5560971	Unknown	ERR369758
2688STDY5560970	Unknown	ERR369757
2688STDY5560969	Unknown	ERR369756
2688STDY5560968	Unknown	ERR369755
2688STDY5560967	Unknown	ERR369754
2688STDY5560966	Unknown	ERR369753
2688STDY5560965	Unknown	ERR369752
2688STDY5560964	Unknown	ERR369751
2688STDY5560963	Unknown	ERR369750
2688STDY5560962	Unknown	ERR369749
2688STDY5560961	Unknown	ERR369748
2688STDY5560960	Unknown	ERR369747
2688STDY5560959	Unknown	ERR369746
2688STDY5560958	Unknown	ERR369745
2688STDY5560957	Unknown	ERR369744
2688STDY5560956	Unknown	ERR369743
2688STDY5560955	Unknown	ERR369742
2688STDY5560954	Unknown	ERR369741
2688STDY5560953	Unknown	ERR369740
2688STDY5560952	Unknown	ERR369739
2688STDY5560951	Unknown	ERR369738
2688STDY5560950	Unknown	ERR369737
2688STDY5560949	Unknown	ERR369736
2688STDY5560948	Unknown	ERR369735
2688STDY5560947	Unknown	ERR369734
2688STDY5560946	Unknown	ERR369733
2688STDY5560945	Unknown	ERR369732
2688STDY5560944	Unknown	ERR369731
2688STDY5560943	Unknown	ERR369730
2688STDY5560942	Unknown	ERR369729
2688STDY5560941	Unknown	ERR369728
2688STDY5560940	Unknown	ERR369727
2688STDY5560939	Unknown	ERR369726
2688STDY5560938	Unknown	ERR369725
2688STDY5560937	Unknown	ERR369724
2688STDY5560936	Unknown	ERR369723
2688STDY5560935	Unknown	ERR369722
2688STDY5560934	Unknown	ERR369721
2688STDY5560933	Unknown	ERR369720
2688STDY5560932	Unknown	ERR369719
2688STDY5560931	Unknown	ERR369718
2688STDY5560930	Unknown	ERR369717
2688STDY5560929	Unknown	ERR369716
2688STDY5560928	Unknown	ERR369715
2688STDY5560927	Unknown	ERR369714
2688STDY5560926	Unknown	ERR369713
2688STDY5560925	Unknown	ERR369712
2688STDY5560924	Unknown	ERR369711
2688STDY5560923	Unknown	ERR369710
2688STDY5560922	Unknown	ERR369709
2688STDY5560921	Unknown	ERR369708
2688STDY5560920	Unknown	ERR369707
