Sample	Strain	Run Accession
2688STDY5560919	Unknown	ERR369706
2688STDY5560918	Unknown	ERR369705
2688STDY5560917	Unknown	ERR369704
2688STDY5560916	Unknown	ERR369703
2688STDY5560915	Unknown	ERR369702
2688STDY5560914	Unknown	ERR369701
2688STDY5560913	Unknown	ERR369700
2688STDY5560912	Unknown	ERR369699
2688STDY5560911	Unknown	ERR369698
2688STDY5560910	Unknown	ERR369697
2688STDY5560909	Unknown	ERR369696
2688STDY5560908	Unknown	ERR369695
2688STDY5560907	Unknown	ERR369694
2688STDY5560906	Unknown	ERR369693
2688STDY5560905	Unknown	ERR369692
2688STDY5560904	Unknown	ERR369691
2688STDY5560903	Unknown	ERR369690
2688STDY5560902	Unknown	ERR369689
2688STDY5560901	Unknown	ERR369688
2688STDY5560900	Unknown	ERR369687
2688STDY5560899	Unknown	ERR369686
2688STDY5560898	Unknown	ERR369685
2688STDY5560897	Unknown	ERR369684
2688STDY5560896	Unknown	ERR369683
2688STDY5560895	Unknown	ERR369682
2688STDY5560894	Unknown	ERR369681
2688STDY5560892	Unknown	ERR369680
2688STDY5560891	Unknown	ERR369679
2688STDY5560890	Unknown	ERR369678
2688STDY5560889	Unknown	ERR369677
2688STDY5560888	Unknown	ERR369676
2688STDY5560887	Unknown	ERR369675
2688STDY5560886	Unknown	ERR369674
2688STDY5560885	Unknown	ERR369673
2688STDY5560884	Unknown	ERR369672
2688STDY5560883	Unknown	ERR369671
2688STDY5560882	Unknown	ERR369670
2688STDY5560881	Unknown	ERR369669
2688STDY5560880	Unknown	ERR369668
2688STDY5560879	Unknown	ERR369667
2688STDY5560878	Unknown	ERR369666
2688STDY5560877	Unknown	ERR369665
2688STDY5560876	Unknown	ERR369664
2688STDY5560875	Unknown	ERR369663
2688STDY5560874	Unknown	ERR369662
2688STDY5560873	Unknown	ERR369661
2688STDY5560872	Unknown	ERR369660
2688STDY5560871	Unknown	ERR369659
2688STDY5560870	Unknown	ERR369658
2688STDY5560869	Unknown	ERR369657
2688STDY5560868	Unknown	ERR369656
2688STDY5560867	Unknown	ERR369655
2688STDY5560866	Unknown	ERR369654
2688STDY5560865	Unknown	ERR369653
2688STDY5560864	Unknown	ERR369652
2688STDY5560863	Unknown	ERR369651
2688STDY5560862	Unknown	ERR369650
2688STDY5560861	Unknown	ERR369649
2688STDY5560860	Unknown	ERR369648
2688STDY5560859	Unknown	ERR369647
2688STDY5560858	Unknown	ERR369646
2688STDY5560857	Unknown	ERR369645
2688STDY5560856	Unknown	ERR369644
2688STDY5560855	Unknown	ERR369643
2688STDY5560854	Unknown	ERR369642
2688STDY5560853	Unknown	ERR369641
2688STDY5560852	Unknown	ERR369640
2688STDY5560851	Unknown	ERR369639
2688STDY5560850	Unknown	ERR369638
2688STDY5560849	Unknown	ERR369637
2688STDY5560848	Unknown	ERR369636
2688STDY5560847	Unknown	ERR369635
2688STDY5560846	Unknown	ERR369634
2688STDY5560845	Unknown	ERR369633
2688STDY5560844	Unknown	ERR369632
2688STDY5560843	Unknown	ERR369631
2688STDY5560842	Unknown	ERR369630
2688STDY5560841	Unknown	ERR369629
2688STDY5560840	Unknown	ERR369628
2688STDY5560839	Unknown	ERR369627
2688STDY5560838	Unknown	ERR369626
2688STDY5560837	Unknown	ERR369625
2688STDY5560836	Unknown	ERR369624
2688STDY5560835	Unknown	ERR369623
2688STDY5560834	Unknown	ERR369622
2688STDY5560833	Unknown	ERR369621
2688STDY5560832	Unknown	ERR369620
2688STDY5560831	Unknown	ERR369619
2688STDY5560830	Unknown	ERR369618
2688STDY5560829	Unknown	ERR369617
2688STDY5560828	Unknown	ERR369616
2688STDY5560827	Unknown	ERR369615
2688STDY5560826	Unknown	ERR369614
2688STDY5560825	Unknown	ERR369613
2688STDY5560824	Unknown	ERR369612
2688STDY5560823	Unknown	ERR369611
2688STDY5560822	Unknown	ERR369610
2688STDY5560821	Unknown	ERR369609
2688STDY5560820	Unknown	ERR369608
2688STDY5560819	Unknown	ERR369607
2688STDY5560818	Unknown	ERR369606
2688STDY5560817	Unknown	ERR369605
2688STDY5560816	Unknown	ERR369604
2688STDY5560815	Unknown	ERR369603
2688STDY5560814	Unknown	ERR369602
2688STDY5560813	Unknown	ERR369601
2688STDY5560812	Unknown	ERR369600
2688STDY5560811	Unknown	ERR369599
2688STDY5560810	Unknown	ERR369598
2688STDY5560809	Unknown	ERR369597
2688STDY5560808	Unknown	ERR369596
2688STDY5560807	Unknown	ERR369595
2688STDY5560806	Unknown	ERR369594
2688STDY5560805	Unknown	ERR369593
2688STDY5560804	Unknown	ERR369592
2688STDY5560803	Unknown	ERR369591
2688STDY5560802	Unknown	ERR369590
2688STDY5560801	Unknown	ERR369589
2688STDY5560800	Unknown	ERR369588
2688STDY5560799	Unknown	ERR369587
2688STDY5560798	Unknown	ERR369586
2688STDY5561180	H131540884r ERR502429
2688STDY5561179	H131540884q ERR502428
2688STDY5561178	H131540884p ERR502427
2688STDY5561177	H131540884o ERR502426
2688STDY5561176	H131540884n ERR502425
2688STDY5561175	H131540884m ERR502424
2688STDY5561174	H131540884l ERR502423
2688STDY5561173	H131540884k ERR502422
2688STDY5561172	H131540884j ERR502421
2688STDY5561171	H131540884i ERR502420
2688STDY5561170	H131540884h ERR502419
2688STDY5561169	H131540884g ERR502418
2688STDY5561168	H131540884f ERR502417
2688STDY5561167	H131540884e ERR502416
2688STDY5561166	H131540884d ERR502415
2688STDY5561165	H131540884c ERR502414
2688STDY5561164	H131540884b ERR502413
2688STDY5561163	H131540884a ERR502412
2688STDY5561162	H122220026  ERR502411
2688STDY5561161	H120180038  ERR502410
2688STDY5561160	H114840048  ERR502409
2688STDY5561159	H113540019  ERR502408
2688STDY5561158	H112800058  ERR502407
2688STDY5561157	H112540239  ERR502406
2688STDY5561156	H112100002  ERR502405
2688STDY5561155	H111560023  ERR502404
2688STDY5561154	H110380011  ERR502403
2688STDY5561153	H110160031  ERR502402
2688STDY5561152	H103560010  ERR502401
2688STDY5561151	M10011453   ERR502400
2688STDY5561150	M10010883   ERR502399
2688STDY5561149	M10010836   ERR502398
2688STDY5561148	M10010727   ERR502397
2688STDY5561147	M10010295   ERR502396
2688STDY5561146	M10010190   ERR502395
2688STDY5561145	M09017000   ERR502394
2688STDY5561144	M09016747   ERR502393
2688STDY5561143	M09016261   ERR502392
2688STDY5561142	M09015838   ERR502391
2688STDY5561141	M09015596   ERR502390
2688STDY5561140	M09015483   ERR502389
2688STDY5561139	M09015481   ERR502388
2688STDY5561138	M09014543   ERR502387
2688STDY5561137	M09014117   ERR502386
2688STDY5561136	M09013710   ERR502385
2688STDY5561135	M09013422   ERR502384
2688STDY5561134	M09012970   ERR502383
2688STDY5561133	M09011464   ERR502382
2688STDY5561132	M09011353   ERR502381
2688STDY5561131	M09011299   ERR502380
2688STDY5561130	M09011043   ERR502379
2688STDY5561129	M09010797   ERR502378
2688STDY5561128	M09010277   ERR502377
2688STDY5561127	M09010064   ERR502376
2688STDY5561126	M09006047   ERR502375
2688STDY5561125	M09004420   ERR502374
2688STDY5561124	M09004323   ERR502373
2688STDY5561123	M09004199   ERR502372
2688STDY5561122	M09003220   ERR502371
2688STDY5561121	M08014128   ERR502370
2688STDY5561120	M08014119   ERR502369
2688STDY5561119	M08013626   ERR502368
2688STDY5561118	M08013446   ERR502367
2688STDY5561117	M08013022   ERR502366
2688STDY5561116	M08011580   ERR502365
2688STDY5561115	M08010366   ERR502364
2688STDY5561114	M08010288   ERR502363
2688STDY5561113	M08009345   ERR502362
2688STDY5561112	M08006889   ERR502361
2688STDY5561111	M08005469   ERR502360
2688STDY5561110	M08005249   ERR502359
2688STDY5561109	M08004339   ERR502358
2688STDY5561108	M08003815   ERR502357
2688STDY5561107	M08003689   ERR502356
2688STDY5561106	M08003474   ERR502355
2688STDY5561105	M08003439   ERR502354
2688STDY5561104	M08003005   ERR502353
2688STDY5561103	M08002434   ERR502352
2688STDY5561102	M08002427   ERR502351
2688STDY5561101	M08001098   ERR502350
2688STDY5561100	M08000652   ERR502349
2688STDY5561099	M08000650   ERR502348
2688STDY5561098	M07012855   ERR502347
2688STDY5561097	M07012645   ERR502346
2688STDY5561096	M07011526   ERR502345
2688STDY5561095	M07011224   ERR502344
2688STDY5561094	M07010505   ERR502343
2688STDY5561093	M07009110   ERR502342
2688STDY5561092	M07008280   ERR502341
2688STDY5561091	M07008192   ERR502340
2688STDY5561090	M07008069   ERR502339
2688STDY5561089	M07008037   ERR502338
2688STDY5561088	M07007320   ERR502337
2688STDY5561087	M07007082   ERR502336
2688STDY5561086	M07005620   ERR502335
2688STDY5561084	M07005251   ERR502334
2688STDY5561083	M07005241   ERR502333
2688STDY5561082	M07004121   ERR502332
2688STDY5561081	M07003131   ERR502331
2688STDY5561080	M07002971   ERR502330
2688STDY5561079	M07002910   ERR502329
2688STDY5561077	M07001683   ERR502327
2688STDY5561076	M06011918   ERR502326
2688STDY5561075	M06011145   ERR502325
2688STDY5561074	M06010721   ERR502324
2688STDY5561073	M06010688   ERR502323
2688STDY5561072	M06010441   ERR502322
2688STDY5561071	M06010233   ERR502321
2688STDY5561069	M06009961   ERR502319
2688STDY5561068	M06009321   ERR502318
2688STDY5561067	M06007599   ERR502317
2688STDY5561066	M06007004   ERR502316
2688STDY5561065	M06005988   ERR502315
2688STDY5561064	M06004908   ERR502314
2688STDY5561063	M06002849   ERR502313
2688STDY5561062	M06002615   ERR502312
2688STDY5561061	M06002558   ERR502311
2688STDY5561060	M06002557   ERR502310
2688STDY5561059	M06001715   ERR502309
2688STDY5561058	M06000996   ERR502308
2688STDY5561057	M06000490   ERR502307
2688STDY5561056	M06000185   ERR502306
2688STDY5561055	M05012803   ERR502305
2688STDY5561054	M05011996   ERR502304
2688STDY5561053	M05011923   ERR502303
2688STDY5561052	M05010980   ERR502302
2688STDY5561051	M05010219   ERR502301
2688STDY5561050	M05010038   ERR502300
2688STDY5561049	M05009386   ERR502299
2688STDY5561048	M05008792   ERR502298
2688STDY5561047	M05008786   ERR502297
2688STDY5561046	M05008210   ERR502296
2688STDY5561045	M05005974   ERR502295
2688STDY5561044	M05005437   ERR502294
2688STDY5561043	M05005057   ERR502293
2688STDY5561042	M05002310   ERR502292
2688STDY5561041	M05001172   ERR502291
2688STDY5561040	M05000937   ERR502290
2688STDY5561039	M05000738   ERR502289
2688STDY5561038	M05000734   ERR502288
2688STDY5561037	M05000372   ERR502287
2688STDY5561036	M04012730   ERR502286
2688STDY5561035	M04011646   ERR502285
2688STDY5561034	M04010938   ERR502284
2688STDY5561033	M04009209   ERR502283
2688STDY5561032	M04008791   ERR502282
2688STDY5561031	M04007291   ERR502281
2688STDY5561030	M04007113   ERR502280
2688STDY5561029	M04005522   ERR502279
2688STDY5561028	M04005279   ERR502278
2688STDY5561027	M04003477   ERR502277
2688STDY5561026	M04003443   ERR502276
2688STDY5561025	M04001871   ERR502275
2688STDY5561024	M04000389   ERR502274
2688STDY5561023	M03002871   ERR502273
2688STDY5561022	M02010519   ERR502272
2688STDY5561021	M02010258   ERR502271
2688STDY5561020	M02009863   ERR502270
2688STDY5561019	M02009703   ERR502269
2688STDY5561018	M02008620   ERR502268
2688STDY5561017	M02008111   ERR502267
2688STDY5561016	M02007912   ERR502266
2688STDY5561015	M02007911   ERR502265
2688STDY5561014	M02007253   ERR502264
2688STDY5561013	M02006546   ERR502263
2688STDY5561012	M02006515   ERR502262
2688STDY5561011	M02006089   ERR502261
2688STDY5561010	M02006070   ERR502260
2688STDY5561009	M02006017   ERR502259
2688STDY5561008	M02005419   ERR502258
2688STDY5561007	M02004723   ERR502257
2688STDY5561006	M02004716   ERR502256
2688STDY5561005	M02004662   ERR502255
2688STDY5561004	M02004592   ERR502254
2688STDY5561003	M02002629   ERR502253
2688STDY5561002	M02001420   ERR502252
2688STDY5561001	M02001418   ERR502251
2688STDY5561000	M01011078   ERR502250
2688STDY5560999	M01010041   ERR502249
2688STDY5560998	M01008309   ERR502248
2688STDY5560997	M01006655   ERR502247
2688STDY5560996	M01005731   ERR502246
2688STDY5560995	M01005388   ERR502245
2688STDY5560994	M01005132   ERR502244
2688STDY5560993	M01004483   ERR502243
2688STDY5560992	M00001293   ERR502242
2688STDY5560991	M00001202   ERR502241
2688STDY5560990	M99006432   ERR502240
2688STDY5561078	M07001913   ERR517400
2688STDY5561078	M07001913   ERR568779
2688STDY5561078	M07001913   ERR502328
2688STDY5561070	M06010206   ERR517399
2688STDY5561070	M06010206   ERR568778
2688STDY5561070	M06010206   ERR502320
2688STDY5561228	Unknown	ERR600676
2688STDY5561227	Unknown	ERR600675
2688STDY5561226	Unknown	ERR600674
2688STDY5561225	Unknown	ERR600673
2688STDY5561224	Unknown	ERR600672
2688STDY5561223	Unknown	ERR600671
2688STDY5561222	Unknown	ERR600670
2688STDY5561221	Unknown	ERR600669
2688STDY5561220	Unknown	ERR600668
2688STDY5561219	Unknown	ERR600667
2688STDY5561218	Unknown	ERR600666
2688STDY5561217	Unknown	ERR600665
2688STDY5561216	Unknown	ERR600664
2688STDY5561215	Unknown	ERR600663
2688STDY5561214	Unknown	ERR600662
2688STDY5561213	Unknown	ERR600661
2688STDY5561212	Unknown	ERR600660
2688STDY5561211	Unknown	ERR600659
2688STDY5561210	Unknown	ERR600658
2688STDY5561209	Unknown	ERR600657
2688STDY5561208	Unknown	ERR600656
2688STDY5561207	Unknown	ERR600655
2688STDY5561206	Unknown	ERR600654
2688STDY5561205	Unknown	ERR600653
2688STDY5561204	Unknown	ERR600652
2688STDY5561203	Unknown	ERR600651
2688STDY5561202	Unknown	ERR600650
2688STDY5561201	Unknown	ERR600649
2688STDY5561200	Unknown	ERR600648
2688STDY5561199	Unknown	ERR600647
2688STDY5561198	Unknown	ERR600646
2688STDY5561197	Unknown	ERR600645
2688STDY5561196	Unknown	ERR600644
2688STDY5561195	Unknown	ERR600643
2688STDY5561194	Unknown	ERR600642
2688STDY5561193	Unknown	ERR600641
2688STDY5561192	Unknown	ERR600640
2688STDY5561191	Unknown	ERR600639
2688STDY5561190	Unknown	ERR600638
2688STDY5561189	Unknown	ERR600637
2688STDY5561188	Unknown	ERR600636
2688STDY5561187	Unknown	ERR600635
2688STDY5561186	Unknown	ERR600634
2688STDY5561185	Unknown	ERR600633
2688STDY5561184	Unknown	ERR600632
2688STDY5561183	Unknown	ERR600631
2688STDY5561182	Unknown	ERR600630
